년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2022-01,AAR,OZ,아시아나항공,국제,HAN,도착,정기,화물,0,0,0,1500788,647757,0,0
2022-01,AAR,OZ,아시아나항공,국제,HAN,도착,정기,여객,3207,21,290,193440,47142,0,99206
2022-01,AAR,OZ,아시아나항공,국제,HAN,도착,부정기,화물,0,0,0,345033,241750,1783,0
2022-01,AAR,OZ,아시아나항공,국제,HAN,출발,정기,화물,0,0,0,3275795,789500,3042,0
2022-01,AAR,OZ,아시아나항공,국제,HAN,출발,정기,여객,1301,6,224,236523,167275,4656,45349
2022-01,AAR,OZ,아시아나항공,국제,HAN,출발,부정기,화물,0,0,0,680275,60231,0,0
2022-01,AAR,OZ,아시아나항공,국제,HAN,출발,부정기,여객,262,0,0,6355,6087,0,7923
2022-01,AAR,OZ,아시아나항공,국제,HKG,도착,정기,화물,0,0,0,3745547,2997802,0,0
2022-01,AAR,OZ,아시아나항공,국제,HKG,도착,정기,여객,82,1,195,36531,9805,0,10207
2022-01,AAR,OZ,아시아나항공,국제,HKG,도착,부정기,화물,0,0,0,865634,626497,0,0
2022-01,AAR,OZ,아시아나항공,국제,HKG,출발,정기,화물,0,0,0,1457774,211891,14667,0
2022-01,AAR,OZ,아시아나항공,국제,HKG,출발,정기,여객,102,2,70,23287,381,0,5135
2022-01,AAR,OZ,아시아나항공,국제,HKG,출발,부정기,화물,0,0,0,173574,15984,0,0
2022-01,AAR,OZ,아시아나항공,국제,HPH,출발,부정기,여객,285,0,0,0,0,0,7794
2022-01,AAR,OZ,아시아나항공,국제,HRB,도착,정기,여객,201,0,66,4529,0,1927,6976
2022-01,AAR,OZ,아시아나항공,국제,HRB,출발,정기,여객,345,1,2,0,0,0,8216
2022-01,AAR,OZ,아시아나항공,국제,JFK,도착,정기,화물,0,0,0,16923,3649,0,0
2022-01,AAR,OZ,아시아나항공,국제,JFK,도착,정기,여객,2349,21,1081,198805,66292,0,119622
2022-01,AAR,OZ,아시아나항공,국제,JFK,출발,정기,화물,0,0,0,1183516,836107,992,0
2022-01,AAR,OZ,아시아나항공,국제,JFK,출발,정기,여객,3023,21,507,235739,134465,51985,128121
2022-01,AAR,OZ,아시아나항공,국제,KIX,도착,정기,화물,0,0,0,741994,455951,0,0
2022-01,AAR,OZ,아시아나항공,국제,KIX,도착,정기,여객,629,17,233,15969,7237,0,19799
2022-01,AAR,OZ,아시아나항공,국제,KIX,출발,정기,화물,0,0,0,554080,113408,23867,0
2022-01,AAR,OZ,아시아나항공,국제,KIX,출발,정기,여객,532,8,402,7662,1560,1065,21206
2022-01,AAR,OZ,아시아나항공,국제,LAS,도착,부정기,여객,192,0,0,0,0,0,2112
2022-01,AAR,OZ,아시아나항공,국제,LAS,출발,부정기,여객,206,0,1,0,0,0,4073
2022-01,AAR,OZ,아시아나항공,국제,LAX,도착,정기,화물,0,0,0,74294,24481,0,0
2022-01,AAR,OZ,아시아나항공,국제,LAX,도착,정기,여객,4189,27,1822,257302,32815,0,204463
2022-01,AAR,OZ,아시아나항공,국제,LAX,도착,부정기,화물,0,0,0,609996,54636,0,0
2022-01,AAR,OZ,아시아나항공,국제,LAX,도착,부정기,여객,81,0,66,11847,0,0,5753
2022-01,AAR,OZ,아시아나항공,국제,LAX,출발,정기,화물,0,0,0,1899967,1091092,2432,0
2022-01,AAR,OZ,아시아나항공,국제,LAX,출발,정기,여객,3987,34,408,401117,276897,30066,149338
2022-01,AAR,OZ,아시아나항공,국제,LAX,출발,부정기,화물,0,0,0,2065030,595602,1235,0
2022-01,AAR,OZ,아시아나항공,국제,LAX,출발,부정기,여객,237,0,5,32253,31727,0,5202
2022-01,AAR,OZ,아시아나항공,국제,LHR,도착,정기,여객,270,6,28,58908,10277,0,7814
2022-01,AAR,OZ,아시아나항공,국제,LHR,도착,부정기,여객,27,1,6,7350,47,0,877
2022-01,AAR,OZ,아시아나항공,국제,LHR,출발,정기,여객,409,7,41,52860,38891,9872,15214
2022-01,AAR,OZ,아시아나항공,국제,LHR,출발,부정기,여객,104,0,6,0,0,0,3481
2022-01,AAR,OZ,아시아나항공,국제,MNL,도착,정기,여객,1181,5,439,407078,91439,0,43852
2022-01,AAR,OZ,아시아나항공,국제,MNL,출발,정기,여객,627,2,1018,380637,64819,5208,46610
2022-01,AAR,OZ,아시아나항공,국제,MXP,도착,정기,화물,0,0,0,660381,43564,0,0
2022-01,AAR,OZ,아시아나항공,국제,MXP,출발,정기,화물,0,0,0,375664,297776,0,0
2022-01,AAR,OZ,아시아나항공,국제,NRT,도착,정기,화물,0,0,0,1045040,656695,13394,0
2022-01,AAR,OZ,아시아나항공,국제,NRT,도착,정기,여객,997,22,337,13562,1865,7121,32889
2022-01,AAR,OZ,아시아나항공,국제,NRT,도착,부정기,화물,0,0,0,66147,54637,948,0
2022-01,AAR,OZ,아시아나항공,국제,NRT,출발,정기,화물,0,0,0,876665,177447,38843,0
2022-01,AAR,OZ,아시아나항공,국제,NRT,출발,정기,여객,844,21,166,12015,638,1787,23186
2022-01,AAR,OZ,아시아나항공,국제,NRT,출발,부정기,화물,0,0,0,35576,7838,0,0
2022-01,AAR,OZ,아시아나항공,국제,ORD,도착,부정기,화물,0,0,0,391294,52171,0,0
2022-01,AAR,OZ,아시아나항공,국제,ORD,출발,정기,화물,0,0,0,1214609,663810,3774,0
2022-01,AAR,OZ,아시아나항공,국제,ORD,출발,부정기,화물,0,0,0,426815,205978,530,0
2022-01,AAR,OZ,아시아나항공,국제,PNH,도착,정기,여객,1321,6,525,21112,6500,0,45091
2022-01,AAR,OZ,아시아나항공,국제,PNH,출발,정기,여객,1261,49,2073,6046,1978,0,100595
2022-01,AAR,OZ,아시아나항공,국제,PVG,도착,정기,화물,0,0,0,2380854,1786181,9444,0
2022-01,AAR,OZ,아시아나항공,국제,PVG,출발,정기,화물,0,0,0,1941248,809242,0,0
